,PSP,ID,smiles_string
9504,,50,[*]C(=O)Nc1ccc(Oc2ccccc2-c2ccccc2Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(-c6ccc(Oc7ccc(N8C(=O)c9ccc([*])cc9C8=O)cc7)cc6)cc5)cc3)C4=O)cc2)cc1
11775,,51,[*]c8ccc(Oc7ccc6cc(Oc5ccc(n4c(=O)c3ccc(S(=O)(=O)c2ccc1c(=O)n([*])c(=O)c1c2)cc3c4=O)cc5)ccc6c7)cc8
7513,,52,[*]Oc1ccc(C=Nc2ccc(N=Cc3ccc(OC(=O)CCCCC([*])=O)cc3)cc2)cc1
5190,,53,[*]COc1ccc(C=C2CCC(=Cc3ccc(OCc4nnc(-c5ccc(-c6ccc(-c7nnc([*])o7)cc6)cc5)o4)cc3)C2=O)cc1
4640,,54,[*]Oc1cc(C)c([*])c(C)c1Br
13152,,55,[*]CC([*])(C)C(=O)OCCn1c2ccccc2c2cc(N=Nc3ccc([N+](=O)[O-])cc3)ccc21
2760,,56,[*]CCCCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1
10556,,57,[*]Nc1c(Br)cc([*])cc1Br
12596,,58,[*]O[Si]([*])(CCCOCCOCCOCCOC)CCCOCCOCCOCCOC
13632,,59,[*]O[Si]([*])(C)CCCCC(=O)OCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1792,,60,[*]CCCCCC(=O)NCCCCCCNC(=O)CCCCCOC(=O)CCCCC(=O)O[*]
8735,,61,[*]c1ccc2c(c1)C(=O)N(c1cccc(C(=O)Nc3ccc(NC(=O)c4cccc(N5C(=O)c6ccc(C([*])(C(F)(F)F)C(F)(F)F)cc6C5=O)c4)cc3)c1)C2=O
11970,,62,C25=C(C4C1=C(C=CC=C1)C2C3=CC=CC=C34)C(O[*])=CC=C5O[*]
9590,,63,[*]c1ccc(Oc2ccccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1
2381,,64,[*]CCCCCCNC(=O)CCc1ccc(CCC(=O)N[*])cc1
5057,,65,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1CBr
374,,66,[*]CC([*])OCC(F)(F)F
2837,,67,[*]Cc1ccc(CSC(=O)Nc2ccc(Cc3ccc(NC(=O)S[*])cc3)cc2)cc1
5806,,68,[*]C=Nc1cc(NC(=O)NCCNCCNO[*])ccc1C
40,,69,[*]CC([*])CCCC(C)(C)C
7337,,70,[*]CCc1ccc(C(=O)O[*])cc1
4168,,71,[*]CC([*])(C)C(=O)OCCOC(=O)C1CCC(=O)N1OC(=O)C(F)(F)F
8542,,72,[*]CC(C)(C)C1C(=O)N(CCCC)C(=O)C1[*]
8920,,73,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O
9275,,74,[*]c1ccc(OCCCCCCCCCCCCOc2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N([*])C6=O)cc4C3=O)cc2)cc1
1793,,75,[*]CCCCCCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O[*])cc2)cc1
10535,,76,[*]N=P(Cl)(Cl)N=P(Cl)(Cl)N=S([*])(=O)F
7474,,77,[*]CCOC(=O)CCCCCCCCC(=O)OCCOC(=O)c1ccc(C(=O)O[*])cc1
11703,,78,N(C(NC1=CC=C([*])C=C1)=O)C3=CC=C(OC2=CC(O[*])=CC=C2)C=C3
6972,,79,[*]Cc1ccc(COC(=O)c2cc(C)c(C(=O)O[*])cc2C)cc1
10433,,80,[*]CCN([*])C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
450,,81,[*]CC([*])(C)C(=O)OCC
1598,,82,[*]CCOC(=O)c1ccc2ccc(C(=O)O[*])cc2c1
8404,,83,[*]CCCCCCCCCNC(=O)NCCCCCCCNC(=O)N[*]
3647,,84,[*]CC([*])c1c(F)c(F)c(OC)c(F)c1F
12269,,85,[*]Oc1cccc(NC(=O)c2ccc([Si](C)(C)c3ccc(C([*])=O)cc3)cc2)c1
8643,,86,[*]c1cccc(Oc2cccc(Oc3cccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)c3)c2)c1
2833,,87,[*]CC(C)(C)CSC(=O)Nc1ccc(Cc2ccc(NC(=O)S[*])cc2)cc1
4272,,88,[*]CC([*])(C)C(=O)OCC(=O)c1ccccc1
1978,,89,[*]Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)CCCCC([*])=O)c(C)c2)cc1C
9848,,90,[*]C(=O)Nc1ccc(Oc2cccc3c(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6cccc7c(N8C(=O)c9ccc([*])cc9C8=O)cccc67)cc4)C5=O)cccc23)cc1
1932,,91,[*]CC(C)(C)COC(=O)CCCCC(=O)O[*]
13417,,92,[*]=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C6C(=O)N(c7cccc(N8C(=O)C(=[*])C(C)=C(C#N)C8=O)c7)C(=O)C(C#N)=C6C)s5)cc4)cc3)cc2)s1
4565,,93,[*]CCOc1ccc(C(=O)OC(=O)c2cccc(C(=O)OC(=O)c3ccc(O[*])c(OC)c3)c2)cc1OC
7215,,94,[*]COC(=O)c1ccc(C(C#N)=C(c2ccc(OC)cc2)N2CCCC([*])C2)cc1
3588,,95,[*]CC([*])c1ccc(OC)cc1Cl
3271,,96,[*]Oc1ccc(C2(c3ccc(OC([*])=S)cc3)CCCC2)cc1
9946,,97,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3cc(C(C)(C)C)c(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4C(F)(F)F)c(C(C)(C)C)c3)cc1)C2=O
6141,,98,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1-c1ccc(Oc2ccccc2)cc1
2685,,99,[*]CCN(C)C(=O)c1ccc(C(=O)N([*])C)cc1
3517,,100,[*]c1cccc(-c2cccc(C(F)(F)C(F)(F)C([*])(F)F)c2)c1
11100,,101,[*]c1ccc(-c2ccc(-c3ccc(C([*])(c4ccccc4)C(F)(F)F)cc3)cc2)cc1
2444,,102,[*]C(=O)c1ccc(C(=O)N(CC)c2ccc(Cc3ccc(N([*])CC)cc3)cc2)cc1
6989,,103,[*]OC(CC(C)C)C([*])=O
6260,,104,[*]Oc1ccc(Sc2ccc(Oc3ccc(-c4ccc(-c5ccc(-c6ccc([*])c(C(F)(F)F)c6)cc5)cc4)cc3C(F)(F)F)cc2)cc1
4124,,105,[*]CC([*])C(=O)N(O)c1ccc(Br)cc1
5926,,106,[*]Oc1ccc(NC(=O)c2cc(NC(=O)CCCN3C(=O)c4ccccc4C3=O)cc(C(=O)Nc3ccc([*])cc3)c2)cc1
12615,,107,[*]CC([*])(C)C(=O)O[Si](C)(C)C
3645,,108,[*]CC([*])c1c(F)c(F)c(OCC(F)(F)C(F)(F)F)c(F)c1F
5538,,109,[*]CCCNC(=O)CCCCCCCCC(=O)NCCCOCCOCCO[*]
6073,,110,[*]Oc1ccc(NC(=O)c2ccc(-c3ccc(C(=O)OCC)c(C(=O)Nc4ccc([*])cc4)c3)cc2C(=O)OCC)cc1
8356,,111,[*]Oc1ccc2cccc(NC(=O)Nc3ccc(Cc4ccc(NC([*])=O)cc4)cc3)c2c1
9708,,112,[*]c1ccc(N(c2ccc(C#N)cc2)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1
1140,,113,[*]CCOCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O[*]
9251,,114,[*]c1ccc(Oc2ccc(N3C(=O)CC4C(CC5C(=O)N([*])C(=O)C54)C3=O)cc2)cc1
7858,,115,[*]NC(C=C)CC([*])=O
10852,,116,[*]c1cccc(S(=O)(=O)NCCNS([*])(=O)=O)c1
12732,,117,C([*])C(CCCC)=CC([*])
9425,,118,[*]c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(NC(=O)c4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O
2724,,119,[*]CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*]
5163,,120,[*]Oc1ccc(C(=O)OCCOCCOC(=O)c2ccc(OC(=O)c3ccc(C([*])=O)cc3)cc2)cc1
5709,,121,[*]CCCCCCCCCCCCOc1c(OC)cc(C=Cc2ccc(C=Cc3cc(OC)c(O[*])c(OC)c3)cc2)cc1OC
